err_mag_from_ASAS,sigclipped_mag_bestap,time_BJDTDB
0.051,9.278,2452264.561727198
0.047,9.279,2452266.570857257
0.029,9.27,2453363.621779125
0.041,9.273,2453366.682489127
0.036,9.302999999999999,2453385.660659045
0.031,9.285,2453390.599839114
0.03,9.292,2453399.608749142
0.026,9.286,2453891.93276705
0.027,9.280999999999999,2454247.928050142
0.042,9.279,2454290.899249013
0.036,9.270999999999999,2454296.91010888
0.028,9.259,2454628.924790889
0.027,9.27,2454640.916860552
0.036,9.238,2454644.896340448
0.032,9.274,2454648.896340352
0.028,9.286999999999999,2454656.8699801
0.037,9.251,2454662.84685989
0.032,9.286999999999999,2454665.877259807
0.036,9.229,2454677.874479621
0.031,9.254999999999999,2454681.838679528
0.026,9.251,2454691.841269169
0.029,9.253,2454694.812439092
0.03,9.275,2454702.80489903
0.038,9.261,2454705.797459025
0.026,9.292,2454740.697908406
0.042,9.277,2455013.90259435
0.046,9.266,2455017.905644259
0.04,9.274,2455023.931644168
0.035,9.259,2455040.872573895
0.045,9.269,2455063.823043654
0.049,9.224,2455069.814803512
0.038,9.269,2455075.797643344
0.039,9.277,2455087.85083331
0.037,9.257,2455092.797503313
